Numeros;Libelle;Geolocalisation
788,786,787,785;50 Otages;47.219956631104175, -1.555035376121632
950,949;avenue de la Lib?ration;47.19261758551086, -1.5468218693151887
679;Bd Malakoff vers Gare Sud;47.21316284797035, -1.5359421578632508
665,664;Bonduelle;47.21160939094489, -1.5432599939033043
744,745;Calvaire;47.215489324621586, -1.5606018691288568
994,995;Ceineray;47.2211808996175, -1.5520557476514105
747,746;Chemin de halage Torti?re;47.235601216475615, -1.5495223616419478
699,89;Coteaux;47.20495618318359, -1.767425435319685
669,668;De Gaulle;47.20359482806785, -1.5366316681743837
667,847;Entr?e pont Audibert;47.207184415056695, -1.548628245726742
1041,1042;Guy Mollet;47.252189065198046, -1.5532727474949712
880,881;Madeleine;47.211547513955786, -1.5527808502938574
944,946,943,945;Magellan;47.21038195207655, -1.5439240750859649
742,743;Philippot;47.21165736518504, -1.5563430663233755
683,682;pont Anne de Bretagne;47.20889069766999, -1.5663860901495563
666;Pont Audibert vers Sud;47.2083580489973, -1.5497189172153978
890,670;Pont de Pirmil;47.19812739474562, -1.5422919798047263
672,673;Pont de Pornic;47.20137134043221, -1.548912422726574
675,674;Pont Haudaudine;47.20907608646761, -1.555389444114489
727,981,725,980;Pont Tabarly;47.21345667065047, -1.5293317342742991
676,677;Pont Willy Brandt;47.21266213415891, -1.5365033968187525
701,700;Promenade de Bellevue;47.22870715868075, -1.4815791173986774
960,959;Sorini?res;47.16029353128087, -1.5420923531458324
907,889;Stade;47.148193005013226, -1.6939094454872934
681,680;Stalingrad;47.21890748612357, -1.5370432491894714
996,997;Van Iseghem;47.23266720647105, -1.5487986994027731
1032;VN vers Suc? sur Erdre;47.31479810819578, -1.5433372850662073
1031;VN751A Vers St Leger les Vignes;47.14052901725844, -1.7136944399197964
